Code_com,Code_post,Commune,Pop_2014,Evo_2009_2014
98801,98811,Bélep,843,"-1,18999805081267"
98802,98812,Boulouparis,3005,"4,44259069934254"
98803,98870,Bourail,5444,"1,72015094300282"
98804,98813,Canala,3687,"1,99040876665664"
98805,98835,Dumbéa,31812,"5,70705525757209"
98806,98881,Farino,612,"0,463903286234713"
98807,98815,Hienghène,2483,"0,690684754164628"
98808,98816,Houaïlou,4240,"1,45273743240177"
98809,98832,Ile des Pins,1958,"-0,11198236387614"
98810,98817,Kaala-Gomen,2033,"1,03480811073133"
98811,98859,Koné,7340,"7,14088971356575"
98833,98818,Kouaoua,1452,"1,54273726474805"
98812,98850,Koumac,4252,"2,87583611752322"
98813,98880,La Foa,3542,"1,28465266596656"
98814,98820,Lifou,9275,"1,45905759614551"
98815,98828,Maré,5648,"0,838684285716296"
98816,98819,Moindou,709,"0,141643627442045"
98817,98809,Mont-Dore,27155,"1,12087317509271"
98818,98800,Nouméa,99926,"0,47648370485387"
98819,98821,Ouégoa,2360,"2,0528083810663"
98820,98814,Ouvéa,3374,"-0,106358075779933"
98821,98889,Païta,20616,"4,73572428041071"
98822,98822,Poindimié,4868,"0,206698746597689"
98823,98823,Ponérihouen,2370,"-0,117726529007212"
98824,98824,Pouébo,2452,"0,296252723636359"
98825,98825,Pouembout,2591,"4,51157050052853"
98826,98826,Poum,1463,"1,05806351845565"
98827,98827,Poya,3036,"2,7724612314955"
98828,98882,Sarraméa,584,"-1,69148265040836"
98829,98829,Thio,2643,"0,106278232819901"
98830,98831,Touho,2087,"-1,46650777557447"
98831,98833,Voh,3160,"5,58594713235314"
98832,98834,Yaté,1747,"-1,46720054357589"
